idx	index	artists	name	danceability
270	270	['Avenged Sevenfold']	Warmness On The Soul	0.614
19477	19477	['Grupo Kual?']	La Historia de mi vida	0.639
13802	13802	['Ñejo', 'Dalmata']	Automovil	0.790
3600	3600	['Luke Christopher']	Lot to Learn	0.405
39184	39184	['Judah & the Lion']	Suit And Jacket	0.452
21472	21472	['The Killers']	When You Were Young	0.467
33652	33652	['Todd Snider']	Beer Run	0.659
14222	14222	['Kodak Black']	Young Prodigy	0.839
21262	21262	['Natasha Bedingfield']	Unwritten	0.706
16547	16547	['Anne-Marie']	Perfect to Me	0.604
6390	6390	['Adam Carroll']	Ol' Milwaukee's Best	0.595
21927	21927	['Katy Perry']	Teenage Dream	0.719
22494	22494	['Rachel Platten']	Fight Song	0.564
4437	4437	['Fred Mollin']	Something There	0.324
3586	3586	['PARTYNEXTDOOR']	Sex on the Beach	0.265
598	598	['The Game', 'Eminem']	We Ain't	0.611
13061	13061	['Lil Wayne']	Fly Out	0.521
21784	21784	['Green Day']	21 Guns	0.268
40499	40499	['Eminem']	Stay Wide Awake	0.747
27989	27989	['Breaking Benjamin']	Crawl	0.256
22688	22688	['Kina', 'Snøw']	Get You The Moon (feat. Snøw)	0.498
5389	5389	['Taio Cruz']	Dynamite	0.755
3519	3519	['Nicki Minaj', 'LunchMoney Lewis']	Trini Dem Girls	0.840
18065	18065	['Animals As Leaders']	Physical Education	0.570
